"","time","close","high","low","open","volumefrom","volumeto"
"1195",2019-07-30 08:54:00,9495.22,9495.63,9493.07,9494.34,2.129,20186.07
"1196",2019-07-30 08:55:00,9495.1,9496.07,9494.36,9495.22,36.9,355290.74
"1197",2019-07-30 08:56:00,9479.28,9495.1,9468.59,9495.1,96.82,917049.96
"1198",2019-07-30 08:57:00,9485.03,9485.04,9479.28,9479.28,2.124,20173.39
"1199",2019-07-30 08:58:00,9479.31,9485.03,9479.31,9485.03,7.552,71517.85
"1200",2019-07-30 08:59:00,9483.46,9484.03,9477.12,9479.31,6.476,61713.05
"1201",2019-07-30 09:00:00,9481.36,9483.58,9481.36,9483.46,3.101,29379.4
"1202",2019-07-30 09:01:00,9481.6,9483.72,9479.75,9481.36,3.03,28747.82
"1203",2019-07-30 09:02:00,9480.64,9481.9,9479.74,9481.6,3.986,37832.07
"1204",2019-07-30 09:03:00,9480.34,9480.64,9477.01,9480.64,1.008,9553.75
"1205",2019-07-30 09:04:00,9477.52,9480.34,9477.5,9480.34,3.28,31104.6
"1206",2019-07-30 09:05:00,9476.38,9477.52,9476.07,9477.52,4.457,42200.13
"1207",2019-07-30 09:06:00,9472.81,9476.38,9471.28,9476.38,4.919,46606.84
"1208",2019-07-30 09:07:00,9473.98,9474.55,9472.81,9472.81,3.47,32902.12
"1209",2019-07-30 09:08:00,9474.39,9474.39,9473.28,9473.98,1.856,17569.24
"1210",2019-07-30 09:09:00,9479.76,9479.76,9473.5,9474.39,3.094,29332.86
"1211",2019-07-30 09:10:00,9487.81,9488.63,9479.76,9479.76,8.963,84933.42
"1212",2019-07-30 09:11:00,9488.48,9488.48,9486.71,9487.81,6.516,62554.64
"1213",2019-07-30 09:12:00,9489.22,9489.22,9488.27,9488.48,3.711,35235.08
"1214",2019-07-30 09:13:00,9490.06,9490.33,9489.15,9489.22,1.575,14938.14
"1215",2019-07-30 09:14:00,9487.8,9490.16,9487.46,9490.06,2.3,21877.38
"1216",2019-07-30 09:15:00,9484.48,9487.8,9484.47,9487.8,1.659,15724.81
"1217",2019-07-30 09:16:00,9483.61,9485.08,9483.61,9484.48,6.215,58996.65
"1218",2019-07-30 09:17:00,9483.74,9485.17,9483.36,9483.61,3.068,29081.24
"1219",2019-07-30 09:18:00,9483.54,9484.63,9483.42,9483.74,8.542,81009.61
"1220",2019-07-30 09:19:00,9482.88,9485.08,9482.49,9483.54,4.33,41089.19
"1221",2019-07-30 09:20:00,9482.15,9483.86,9482.15,9482.88,2.832,26846.64
"1222",2019-07-30 09:21:00,9482.45,9483.48,9482.15,9482.15,4.481,42515.02
"1223",2019-07-30 09:22:00,9488.16,9488.74,9482.45,9482.45,35.25,338141.46
"1224",2019-07-30 09:23:00,9491.58,9492.94,9488.16,9488.16,17.36,164742.43
"1225",2019-07-30 09:24:00,9492.32,9492.32,9489.45,9491.58,0.5671,5383.69
"1226",2019-07-30 09:25:00,9492.14,9492.85,9491.13,9492.32,1.989,18929.81
"1227",2019-07-30 09:26:00,9497.41,9499.35,9491.35,9492.14,3.048,28979.44
"1228",2019-07-30 09:27:00,9497.15,9498.04,9496.49,9497.41,1.896,18006.27
"1229",2019-07-30 09:28:00,9494.41,9497.15,9494.41,9497.15,3.932,37309.77
"1230",2019-07-30 09:29:00,9496.43,9496.43,9494.41,9494.41,4.327,41141.15
"1231",2019-07-30 09:30:00,9497.47,9497.47,9495.59,9496.43,1.349,12801.56
