,time,neu,neu_clean,pos,pos_clean,neg,neg_clean,com,com_clean,close,high,low,open,volumefrom,volumeto,price_delta,delta_bool
80,2019-07-27 22:00:00,0.8472440516655331,0.6960169952413324,0.10873827328348055,0.21823861318830723,0.044017675050985715,0.0857409925220938,0.1580016315431681,0.14923120326308636,9445.59,9523.55,9342.71,9507.26,3570.63,33730577.15,-61.67000000000007,0
81,2019-07-27 23:00:00,0.8438923076923083,0.7023356643356644,0.11361748251748247,0.21913636363636388,0.04248601398601399,0.07852377622377624,0.16596545454545455,0.15410279720279735,9478.32,9530.33,9420.98,9445.59,1745.28,16537779.05,32.72999999999956,1
82,2019-07-28 00:00:00,0.8464145150034885,0.7028722958827638,0.11449616189811569,0.2233000697836711,0.03908932309839497,0.07383251919050944,0.17918471737613423,0.16720048848569455,9420.02,9478.32,9372.35,9478.32,1113.98,10495816.51,-58.29999999999927,0
83,2019-07-28 01:00:00,0.8353149999999984,0.6861942857142864,0.11739999999999995,0.23054357142857174,0.04729071428571433,0.08325857142857147,0.16130121428571445,0.15977757142857163,9473.54,9477.08,9419.59,9420.02,608.65,5759440.57,53.52000000000044,1
84,2019-07-28 02:00:00,0.8385592948717948,0.6906899038461539,0.11716266025641027,0.2272347756410258,0.04427964743589743,0.08208092948717953,0.1666067307692308,0.16513012820512826,9457.73,9488.13,9453.83,9473.54,493.19,4675576.95,-15.81000000000131,0
85,2019-07-28 03:00:00,0.8316163828061629,0.686427412814274,0.12335198702351986,0.23301540957015413,0.04503487429034876,0.08056204379562043,0.1749425790754259,0.16510973236009763,9466.19,9483.3,9450.51,9457.73,296.33,2809690.4,8.460000000000946,1
86,2019-07-28 04:00:00,0.8427149837133551,0.693304560260586,0.11890798045602606,0.23117915309446244,0.038381107491856685,0.0755203583061889,0.19093794788273633,0.1693713355048862,9505.45,9559.4,9465.79,9466.19,1161.97,11074226.28,39.26000000000022,1
87,2019-07-28 05:00:00,0.8386185737976776,0.6934046434494199,0.11846351575456054,0.22906301824212272,0.042919568822553884,0.07753399668325044,0.17316086235489236,0.16702479270315115,9504.49,9532.66,9496.8,9505.45,476.55,4536971.71,-0.9600000000009459,0
88,2019-07-28 06:00:00,0.8508569169960466,0.710584189723321,0.11294466403162058,0.21878498023715426,0.03619841897233199,0.0706363636363636,0.18617715415019787,0.1769103557312255,9503.47,9538.74,9474.46,9504.49,476.18,4532177.04,-1.0200000000004366,0
89,2019-07-28 07:00:00,0.8350454217736133,0.6926820475847159,0.12556885364095158,0.24173179524152838,0.03938428262436915,0.0655854361932228,0.19243273251622203,0.19033878875270402,9481.09,9515.23,9480.99,9503.47,435.14,4138982.3,-22.3799999999992,0
90,2019-07-28 08:00:00,0.856557046979867,0.7213325876211788,0.10777926920208791,0.21702609992542882,0.03566666666666668,0.06164280387770319,0.17013653989560037,0.16964683072334097,9508.24,9524.59,9476.39,9481.09,380.52,3615274.34,27.149999999999636,1
91,2019-07-28 09:00:00,0.8400526700804689,0.7011741038771033,0.12017117776152163,0.23055303584491565,0.039773226042428625,0.06827432333577177,0.18176949524506245,0.1784219458668619,9466.31,9516.37,9465.25,9508.24,368.79,3509487.63,-41.93000000000029,0
92,2019-07-28 10:00:00,0.84567513069455,0.7018043315907384,0.1174017923823749,0.23118297236743832,0.03691784914115012,0.06701643017177002,0.19172994772218108,0.1864717699775956,9455.33,9482.45,9428.66,9466.31,800.52,7577687.88,-10.979999999999563,0
93,2019-07-28 11:00:00,0.8425985865724395,0.701903180212015,0.11819646643109542,0.22768833922261475,0.039197879858657254,0.07041130742049469,0.19194466431095417,0.17708607773851606,9522.1,9553.76,9453.26,9455.33,1040.59,9903569.23,66.77000000000044,1
94,2019-07-28 12:00:00,0.8447266797129812,0.714277886497065,0.11420547945205492,0.21519634703196358,0.04107501630789306,0.07053359425962163,0.1698206784083501,0.1605874103065887,9501.84,9534.53,9483.49,9522.1,575.01,5471504.35,-20.26000000000022,0
95,2019-07-28 13:00:00,0.8368106015485413,0.6839898749255501,0.12089219773674807,0.2354258487194757,0.04229124478856462,0.08058784991066106,0.18207498511018486,0.17379761762954177,9493.8,9505.71,9470.73,9501.84,553.98,5257057.28,-8.040000000000873,0
96,2019-07-28 14:00:00,0.8471454747362581,0.7068784008883953,0.11327207107162689,0.22590616324264334,0.039585230427540245,0.06721932259855638,0.17029078289838967,0.17332359800111058,9493.45,9530.39,9486.04,9493.8,439.01,4173779.3,-0.3499999999985448,0
97,2019-07-28 15:00:00,0.8397180616740079,0.6942006852667628,0.11401811062163479,0.22589525208027458,0.04627019089574154,0.0799045521292217,0.1614182085168869,0.16199921683798335,9510.9,9537.08,9492.41,9493.45,623.04,5936298.26,17.44999999999891,1
98,2019-07-28 16:00:00,0.8479481555334,0.7058240279162508,0.10845513459621135,0.21583649052841514,0.04358923230309072,0.07834546360917247,0.14374396809571327,0.14972387836490544,9521.48,9563.37,9507.85,9510.9,892.72,8508866.53,10.579999999999927,1
99,2019-07-28 17:00:00,0.8390061068702288,0.6993664122137386,0.11620152671755724,0.22884223918575092,0.044787277353689516,0.07178880407124685,0.1698136386768448,0.17268569974554718,9537.57,9554.48,9517.69,9521.48,430.02,4104008.54,16.090000000000146,1
100,2019-07-28 18:00:00,0.8453175604626709,0.6986750788643533,0.11276656151419563,0.22523133543638235,0.041910620399579414,0.07610094637223976,0.17312607781282857,0.16781924290220798,9540.9,9557.06,9526.95,9537.57,621.63,5934036.79,3.3299999999999272,1
115,2019-07-29 09:00:00,0.8568501712328764,0.7199434931506845,0.10983047945205471,0.21387328767123284,0.033312499999999974,0.0661857876712329,0.17148116438356165,0.15993510273972625,9471.52,9568.23,9386.9,9557.6,2529.64,23963759.97,-86.07999999999993,0
116,2019-07-29 10:00:00,0.8520368589743598,0.7180705128205125,0.1111581196581198,0.21425267094017098,0.03680822649572655,0.06767895299145303,0.17222425213675227,0.15908060897435922,9487.62,9505.62,9446.82,9471.52,795.93,7553793.66,16.100000000000364,1
117,2019-07-29 11:00:00,0.8567792275574106,0.7217296450939457,0.10837265135699377,0.21382881002087661,0.034846033402922784,0.06443893528183714,0.1725566805845512,0.16671737995824645,9458.2,9499.23,9437.98,9487.62,930.21,8814441.14,-29.420000000000073,0
118,2019-07-29 12:00:00,0.8514103618421057,0.7232055921052623,0.10980304276315778,0.2095222039473687,0.03878371710526315,0.06727302631578942,0.16306615953947357,0.1554298519736841,9516.39,9517.36,9447.64,9458.2,1124.21,10666081.34,58.18999999999869,1
119,2019-07-29 13:00:00,0.8511943462897538,0.7159654495484875,0.11100981546917935,0.2120369061641149,0.037797801334903784,0.07199332548095802,0.1706133490380839,0.1552351786415392,9534.32,9577.54,9480.21,9516.39,1466.14,13969228.4,17.93000000000029,1
120,2019-07-29 14:00:00,0.8519219242902213,0.7215118296529968,0.11175473186119889,0.2126317034700316,0.036328075709779195,0.06585173501577288,0.1705706624605679,0.16092397476340706,9516.29,9565.77,9500.32,9534.32,1109.57,10579922.74,-18.029999999998836,0
122,2019-07-29 16:00:00,0.8518815104166687,0.7127790798611104,0.10790407986111113,0.2118029513888894,0.04021527777777774,0.07541666666666663,0.1551301649305558,0.1488731770833335,9540.89,9645.14,9393.54,9517.62,3966.13,37768017.24,23.269999999998618,1
123,2019-07-29 17:00:00,0.8468398299078668,0.7045329553508148,0.11511481218993631,0.23167257264351523,0.03803968816442238,0.06379659815733524,0.17735209071580463,0.18413182140326032,9481.6,9547.47,9412.32,9540.89,2440.58,23162786.61,-59.289999999999054,0
124,2019-07-29 18:00:00,0.854377118644067,0.722133474576271,0.10580762711864389,0.20736228813559338,0.03982161016949153,0.07050847457627117,0.14894610169491537,0.1476291525423729,9503.68,9516.82,9444.02,9481.6,996.32,9445772.94,22.079999999999927,1
125,2019-07-29 19:00:00,0.8554325230511316,0.7178373847443412,0.10895347862531422,0.21401886001676457,0.03561693210393964,0.06814459346186084,0.17400938809723349,0.1660406538139145,9476.5,9516.6,9476.5,9503.68,650.9,6186421.03,-27.18000000000029,0
126,2019-07-29 20:00:00,0.8568770270270284,0.7244076576576575,0.10538243243243234,0.20406981981982028,0.03774414414414413,0.07152117117117121,0.1604488738738741,0.14883261261261257,9520.83,9527.47,9467.58,9476.5,859.89,8167090.93,44.32999999999993,1
127,2019-07-29 21:00:00,0.8446946291560118,0.7046337595907928,0.11169462915601032,0.2148874680306905,0.043616368286444995,0.08047672634271089,0.16412419437340192,0.1522979028132994,9504.49,9536.86,9501.8,9520.83,838.07,7989435.04,-16.340000000000146,0
